,Cluster
B01,C2
B02,C2
B03,C2
B04,C2
B05,C2
B06,C2
B07,C2
B08,C2
B09,C2
B10,C2
B11,C2
B12,C2
B13,C2
B14,C2
B15,C2
B16,C2
B17,C2
B18,C2
B19,C2
B20,C2
B21,C2
B22,C2
B23,C2
B24,C2
B25,C2
B26,C2
B27,C2
B28,C2
B29,C2
B30,C2
B31,C2
B32,C2
B33,C2
B34,C2
B35,C2
B36,C2
B37,C2
B38,C2
B39,C2
B40,C2
B41,C2
B42,C2
B43,C2
B44,C2
B45,C2
B46,C2
B47,C2
B48,C2
B49,C2
B50,C2
B51,C2
B52,C2
B53,C2
B54,C2
B55,C2
B56,C2
B57,C2
B58,C2
B59,C2
B60,C2
B61,C2
B62,C2
B63,C2
B64,C2
B65,C2
B66,C2
B67,C2
B68,C2
B69,C2
B70,C2
B71,C2
B72,C2
B73,C2
B74,C2
B75,C2
B76,C2
B77,C2
B78,C2
B79,C2
B80,C2
B81,C2
B82,C2
B83,C2
B84,C2
B85,C2
B86,C2
B87,C2
B88,C2
B89,C2
B90,C2
B91,C2
B92,C2
B93,C2
B94,C2
B95,C2
B96,C2
B97,C2
B98,C2
B99,C2
B100,C2
B101,C2
B102,C2
B103,C2
B104,C2
B105,C2
B106,C2
B107,C2
B108,C2
B109,C2
B110,C2
B111,C2
B112,C2
B113,C2
B114,C2
B115,C2
B116,C2
B117,C2
B118,C2
B119,C2
B120,C2
B121,C2
B122,C2
B123,C2
B124,C2
B125,C2
B126,C2
B127,C2
B128,C2
B129,C2
B130,C2
B131,C2
B132,C2
B133,C2
B134,C2
B135,C2
B136,C2
B137,C2
B138,C2
B139,C2
B140,C2
B141,C2
B142,C2
B143,C2
B144,C2
B145,C2
B146,C2
B147,C2
B148,C2
B149,C2
B150,C2
B151,C2
B152,C2
B153,C2
B154,C2
B155,C2
B156,C2
B157,C2
B158,C2
B159,C2
B160,C2
B161,C2
B162,C2
B163,C2
B164,C2
B165,C2
B166,C2
B167,C2
B168,C2
B169,C2
B170,C2
B171,C2
B172,C2
B173,C2
B174,C2
B175,C2
B176,C2
B177,C2
B178,C2
B179,C2
B180,C2
B181,C2
B182,C2
B183,C2
B184,C2
B185,C2
B186,C2
B187,C2
B188,C2
B189,C2
B190,C2
B191,C2
B192,C2
B193,C2
B194,C2
B195,C2
B196,C2
B197,C2
B198,C2
B199,C2
B200,C2
B201,C2
B202,C2
B203,C2
B204,C2
B205,C2
B206,C2
B207,C2
B208,C2
B209,C0
B210,C2
B211,C2
B212,C2
B213,C2
B214,C2
B215,C2
B216,C2
B217,C2
B218,C2
B219,C2
B220,C2
B221,C2
B222,C2
B223,C2
B224,C2
B225,C2
B226,C2
B227,C2
B228,C2
B229,C2
B230,C2
B231,C2
B232,C2
B233,C2
B234,C2
B235,C2
B236,C2
B237,C2
B238,C2
B239,C2
B240,C2
B241,C2
B242,C2
B243,C2
B244,C2
B245,C2
B246,C2
B247,C2
B248,C2
B249,C2
B250,C2
B251,C2
B252,C2
B253,C2
B254,C2
B255,C2
B256,C2
B257,C2
B258,C2
B259,C2
B260,C2
B261,C2
B262,C2
B263,C2
B264,C2
B265,C2
B266,C2
B267,C2
B268,C2
B269,C2
B270,C2
B271,C2
B272,C2
B273,C2
B274,C2
